"Date","Department","Category","Region","Budget Amount","Actual Amount","Payment Method","Transaction ID"
"2022-04-23","HR","Utilities","West","74748","89052","Bank Transfer","TXN102957"
"2022-05-10","HR","Utilities","West","88728","45024","Cash","TXN102958"
"2023-04-13","IT","Travel","Central","127849","94189","UPI","TXN102959"
"2023-11-29","Sales","Utilities","North","12380","124210","Card","TXN102960"
"2022-08-16","HR","Travel","West","133256","165007","Card","TXN102961"
"2021-07-06","HR","Salaries","Central","104389","167223","Cash","TXN102962"
"2023-01-24","Marketing","Salaries","South","10743","44138","Card","TXN102963"
"2021-04-03","IT","Utilities","East","50124","47670","Card","TXN102964"
"2021-03-27","HR","Utilities","North","128174","35981","Bank Transfer","TXN102965"
"2023-12-04","Operations","Utilities","North","55653","11384","Cash","TXN102966"
"2021-05-17","Sales","Salaries","South","56072","68416","Card","TXN102967"
"2022-02-25","Operations","Infrastructure","North","132214","157149","Bank Transfer","TXN102968"
"2021-03-15","Finance","Salaries","Central","51302","77719","Bank Transfer","TXN102969"
"2021-06-20","Sales","Utilities","North","87011","100401","Bank Transfer","TXN102970"
"2021-06-19","Finance","Infrastructure","North","116452","132035","Bank Transfer","TXN102971"
"2023-05-22","Marketing","Infrastructure","North","41898","106901","Cash","TXN102972"
"2021-11-18","HR","Marketing","Central","113620","104254","Cash","TXN102973"
"2022-04-01","IT","Travel","East","27889","15495","Bank Transfer","TXN102974"
"2023-08-02","Operations","Utilities","West","55985","100270","Cash","TXN102975"
"2023-03-01","Finance","Travel","North","84106","73231","UPI","TXN102976"
"2022-09-05","HR","Marketing","South","70139","63369","UPI","TXN102977"
"2023-06-08","Operations","Travel","South","18897","169899","Bank Transfer","TXN102978"
"2021-12-15","Operations","Utilities","Central","28798","32067","Card","TXN102979"
"2021-01-10","Marketing","Marketing","East","15656","101850","Card","TXN102980"
"2023-01-10","Marketing","Travel","North","22193","152160","UPI","TXN102981"
"2022-10-29","Finance","Salaries","Central","146219","18976","Bank Transfer","TXN102982"
"2022-06-30","HR","Infrastructure","West","136474","76712","UPI","TXN102983"
"2021-05-09","IT","Marketing","East","112748","103827","UPI","TXN102984"
"2022-08-24","Finance","Salaries","East","93366","120716","Card","TXN102985"
"2022-08-28","Operations","Utilities","Central","73628","43666","UPI","TXN102986"
"2021-11-23","Operations","Infrastructure","South","143474","36148","Bank Transfer","TXN102987"
"2023-09-07","Sales","Marketing","East","15642","91184","Card","TXN102988"
"2022-02-08","HR","Infrastructure","South","93746","145922","Card","TXN102989"
"2022-09-21","Sales","Training","East","17918","122035","UPI","TXN102990"
"2022-12-19","Marketing","Training","East","128535","56332","Cash","TXN102991"
"2023-11-07","IT","Marketing","East","124438","116955","UPI","TXN102992"
"2021-10-01","Finance","Marketing","West","31061","140626","Bank Transfer","TXN102993"
"2022-11-16","Operations","Travel","South","126408","118238","Cash","TXN102994"
"2021-04-26","HR","Infrastructure","West","30215","64531","Bank Transfer","TXN102995"
"2023-05-11","Operations","Training","South","130148","68926","Card","TXN102996"
"2022-11-24","Marketing","Training","West","123613","74207","Bank Transfer","TXN102997"
"2021-11-20","Sales","Infrastructure","West","66098","103256","Bank Transfer","TXN102998"
"2023-08-19","Sales","Training","West","78764","126256","Bank Transfer","TXN102999"
"2021-04-24","Finance","Salaries","Central","103271","51437","UPI","TXN103000"
"2023-12-18","HR","Training","West","133816","95233","UPI","TXN103001"
"2021-06-03","Marketing","Training","East","49276","129666","Bank Transfer","TXN103002"
"2021-11-11","HR","Utilities","North","41711","63195","UPI","TXN103003"
"2023-12-01","Finance","Salaries","West","49764","165668","Card","TXN103004"
"2021-04-15","Marketing","Travel","North","14844","162594","Card","TXN103005"
"2021-12-20","Marketing","Marketing","North","117181","164823","Cash","TXN103006"
"2023-10-13","Sales","Training","East","112539","100516","UPI","TXN103007"
"2023-01-03","Sales","Travel","North","34630","17474","UPI","TXN103008"
"2022-12-10","Sales","Travel","North","95132","8534","Bank Transfer","TXN103009"
"2022-10-13","Operations","Salaries","North","111510","20040","Cash","TXN103010"
"2023-04-04","IT","Marketing","South","27025","48529","Card",
"2023-08-05","Sales","Utilities","West","14839","143738","Card","TXN103012"
"2022-10-23","IT","Travel","West","48937","45441","Bank Transfer","TXN103013"
"2021-04-09","IT","Utilities","North","123074","44766","UPI","TXN103014"
"2022-08-11","HR","Marketing","East","56660","129305","Bank Transfer","TXN103015"
"2021-10-09","Finance","Marketing","South","125911","162957","Cash","TXN103016"
"2022-02-07","Operations","Salaries","East","43260","44460","Card","TXN103017"
"2022-12-01","IT","Infrastructure","East","106200","165487","Cash","TXN103018"
"2021-07-18","Operations","Training","North","33206","110363","Card","TXN103019"
"2021-11-23","HR","Salaries","Central","65763","49290","Card","TXN103020"
"2021-06-03","Sales","Utilities","North","93059","68116","Cash","TXN103021"
"2022-07-06","Marketing","Salaries","Central","16794","107831","Card","TXN103022"
"2022-02-09","IT","Marketing","South","127973","136773","Card","TXN103023"
"2022-04-07","Finance","Travel","Central","51961","109999","Cash","TXN103024"
"2021-05-12","Marketing","Training","North","95801","51513","Card","TXN103025"
"2023-03-02","HR","Training","North","21736","53139","Cash","TXN103026"
"2023-05-24","Operations","Infrastructure","East","69395","50381","Bank Transfer","TXN103027"
"2021-03-25","Sales","Marketing","North","90338","149495","UPI","TXN103028"
"2023-01-24","Operations","Training","North","124946","10216","UPI","TXN103029"
"2022-09-20","Finance","Training","West","89757","79872","UPI","TXN103030"
"2021-08-09","IT","Travel","West","79385","115347","Card","TXN103031"
"2022-07-07","Finance","Utilities","East","75285","23573","Cash","TXN103032"
"2021-04-22","Operations","Utilities","Central","130862","32094","UPI","TXN103033"
"2022-09-07","Operations","Utilities","Central","145688","82907","Card","TXN103034"
"2023-07-13","Marketing","Salaries","West","100100","44363","Card","TXN103035"
"2022-04-20","Finance","Utilities","South","75659","28751","Cash","TXN103036"
"2023-04-16","Finance","Utilities","West","77713","63008","Bank Transfer","TXN103037"
"2021-09-28","Finance","Salaries","South","56811","137579","Cash","TXN103038"
"2022-02-25","Sales","Travel","Central","73387","149123","Card","TXN103039"
"2022-12-08","Operations","Marketing","West","143196","62153","Bank Transfer","TXN103040"
"2021-02-09","HR","Training","North","111558","8737","Bank Transfer","TXN103041"
"2021-07-08","Sales","Infrastructure","South","77949","117308","UPI","TXN103042"
"2023-09-21","Sales","Training","South","16089","84520","Card","TXN103043"
"2022-06-20","Sales","Utilities","South","15833","158274","Cash","TXN103044"
"2023-10-25","Marketing","Utilities","Central","59308","152158","Cash","TXN103045"
"2021-10-17","HR","Training","East","52083","111646","UPI","TXN103046"
"2022-03-09","Finance","Training","North","125605","86784","Card","TXN103047"
"2022-04-16","Marketing","Utilities","West","89674","96836","Cash","TXN103048"
"2022-09-20","Operations","Salaries","South","11702","167809","Cash","TXN103049"
"2021-10-06","IT","Salaries","Central","31773","49486","Cash","TXN103050"
"2023-05-27","Marketing","Salaries","South","48575","22436","Bank Transfer","TXN103051"
"2022-08-04","IT","Infrastructure","West","30098","57094","Bank Transfer","TXN103052"
"2023-05-13","Operations","Marketing","North","82519","31818","UPI","TXN103053"
"2021-09-11","HR","Utilities","South","138699","80233","UPI","TXN103054"
"2021-06-30","IT","Travel","Central","12397","12161","Cash","TXN103055"
"2022-11-12","Sales","Training","Central","36770","136349","Card","TXN103056"
"2023-04-05","Marketing","Training","East","48222","18043","Card","TXN103057"
"2022-12-01","IT","Utilities","Central","103737","130765","UPI","TXN103058"
"2022-07-20","Operations","Utilities","East","59033","73655","Card","TXN103059"
"2022-11-11","Sales","Utilities","North","75879","153652","Card","TXN103060"
"2022-01-26","IT","Training","West","88475","61636","Cash","TXN103061"
"2021-07-31","Operations","Utilities","East","25950","151646","Cash","TXN103062"
"2022-01-19","HR","Training","South","106081","137848","Card","TXN103063"
"2021-12-08","Operations","Marketing","South","58787","58942","Cash","TXN103064"
"2023-04-24","HR","Travel","West","98768","119009","Card","TXN103065"
"2023-11-28","Sales","Salaries","Central","100150","57502","Card","TXN103066"
"2022-02-24","Operations","Travel","South","105551","18394","Bank Transfer","TXN103067"
"2023-01-21","Finance","Utilities","East","116350","128145","Card","TXN103068"
"2021-11-02","Marketing","Travel","West","137943","10250","Bank Transfer","TXN103069"
"2022-12-03","Finance","Utilities","South","72926","160516","UPI","TXN103070"
"2023-05-19","Finance","Travel","Central","14986","162039","Card","TXN103071"
"2022-06-21","Finance","Infrastructure","Central","88485","27621","UPI","TXN103072"
"2021-07-25","Marketing","Travel","South","141307","96442","Cash","TXN103073"
"2022-05-11","Finance","Salaries","West","149065","118005","Bank Transfer","TXN103074"
"2023-12-07","HR","Salaries","North","80760","32623","UPI","TXN103075"
"2022-05-19","Operations","Travel","South","75587","100388","Cash","TXN103076"
"2023-11-12","Sales","Training","Central","85108","62999","Card","TXN103077"
"2021-08-01","Finance","Training","North","18498","104207","Bank Transfer","TXN103078"
"2021-11-06","Finance","Training","West","55066","154088","Card","TXN103079"
"2022-10-23","Sales","Travel","Central","99529","118520","UPI","TXN103080"
"2023-01-23","Sales","Training","West","22485","24321","Card","TXN103081"
"2021-09-29","Finance","Marketing","South","79136","19376","Cash","TXN103082"
"2023-07-27","HR","Travel","West","56264","26276","UPI","TXN103083"
"2021-02-01","Sales","Salaries","Central","55606","87392","Bank Transfer","TXN103084"
"2022-03-19","Operations","Training","South","46346","33544","Cash","TXN103085"
"2021-06-11","Operations","Infrastructure","Central","113865","68504","Cash","TXN103086"
"2023-02-06","HR","Training","Central","125192","53701","Bank Transfer","TXN103087"
"2021-09-11","Marketing","Salaries","North","133016","126794","Cash","TXN103088"
"2022-06-05","IT","Marketing","East","63166","117594","UPI","TXN103089"
"2023-09-04","HR","Travel","West","49075","43271","Card","TXN103090"
"2021-01-10","Finance","Training","West","88675","30444","Bank Transfer","TXN103091"
"2022-12-27","IT","Infrastructure","North","113446","95070","Bank Transfer","TXN103092"
"2022-05-20","Finance","Salaries","West","14806","17662","UPI","TXN103093"
"2023-02-24","Operations","Infrastructure","North","39357","118248","UPI","TXN103094"
"2022-03-12","Sales","Utilities","West","68877","152324","Bank Transfer","TXN103095"
"2021-06-02","Finance","Salaries","West","120137","35214","Bank Transfer","TXN103096"
"2023-07-06","Operations","Utilities","Central","63155","110798","Bank Transfer","TXN103097"
"2023-05-19","HR","Infrastructure","North","68051","24350","Bank Transfer","TXN103098"
"2023-01-23","Finance","Travel","West","134503","27987","UPI","TXN103099"
"2022-07-17","Operations","Travel","East","83147","14761","Card","TXN103100"
"2022-05-04","Sales","Travel","North","137117","32358","Bank Transfer","TXN103101"
"2023-06-14","Finance","Utilities","North","86742","62601","Cash","TXN103102"
"2021-04-14","Marketing","Travel","North","107486","134553","Cash","TXN103103"
"2023-10-22","Operations","Marketing","Central","142779","98249","Cash","TXN103104"
"2023-10-04","Finance","Salaries","North","32290","11751","UPI","TXN103105"
"2022-02-11","Sales","Salaries","Central","94875","144916","Bank Transfer","TXN103106"
"2021-06-16","Finance","Infrastructure","East","29311","37153","UPI","TXN103107"
"2022-05-24","Finance","Training","South","58175","147563","Cash","TXN103108"
"2021-11-09","Marketing","Utilities","Central","12720","155487","Card","TXN103109"
"2023-02-02","Operations","Salaries","West","45790","16733","Cash","TXN103110"
"2022-11-12","IT","Utilities","North","91285","126144","Bank Transfer","TXN103111"
"2022-04-22","Finance","Infrastructure","South","125066","38516","Card","TXN103112"
"2021-03-14","IT","Travel","Central","100328","134283","Card","TXN103113"
"2022-08-05","HR","Training","West","32442","132971","Card","TXN103114"
"2021-09-19","Finance","Infrastructure","South","33802","57698","Cash","TXN103115"
"2021-09-02","IT","Marketing","East","22721","123671","UPI","TXN103116"
"2022-07-15","HR","Travel","Central","45757","22759","Cash","TXN103117"
"2021-06-24","Marketing","Travel","Central","101402","120571","Bank Transfer","TXN103118"
"2021-04-19","Operations","Travel","East","11939","32955","Card","TXN103119"
"2021-07-02","Finance","Infrastructure","Central","129382","91835","UPI","TXN103120"
"2021-07-11","Operations","Marketing","North","41989","62206","UPI","TXN103121"
"2021-03-06","HR","Training","Central","140404","165833","Bank Transfer","TXN103122"
"2023-08-21","Operations","Utilities","North","83251","163182","Bank Transfer","TXN103123"
"2023-05-14","Operations","Infrastructure","Central","24454","20695","Bank Transfer","TXN103124"
"2022-01-04","Sales","Salaries","West","142449","98296","Card","TXN103125"
"2023-05-01","HR","Salaries","West","45523","83793","Card","TXN103126"
"2021-02-12","Operations","Infrastructure","South","40807","58872","Bank Transfer","TXN103127"
"2022-05-03","IT","Utilities","West","28467","113082","Card","TXN103128"
"2021-03-19","HR","Salaries","East","47177","40938","Cash","TXN103129"
"2023-04-06","Sales","Utilities","South","58667","147663","UPI","TXN103130"
"2022-11-05","Finance","Travel","West","65259","56013","Card","TXN103131"
"2022-12-02","Marketing","Infrastructure","North","46872","19784","UPI","TXN103132"
"2023-01-29","Operations","Travel","Central","20522","72712","Cash","TXN103133"
"2022-12-29","IT","Salaries","West","124108","167300","Card","TXN103134"
"2023-07-14","Sales","Utilities","North","50425","131118","Bank Transfer","TXN103135"
"2023-06-21","HR","Travel","South","15478","32466","Bank Transfer","TXN103136"
"2023-06-08","Marketing","Salaries","Central","103873","150885","Cash","TXN103137"
"2023-09-20","Marketing","Marketing","West","61793","100687","Cash","TXN103138"
"2021-12-05","Operations","Travel","South","15025","14620","Card","TXN103139"
"2021-07-12","Sales","Marketing","West","17764","33924","Cash","TXN103140"
"2021-10-10","Sales","Marketing","South","79036","42857","UPI","TXN103141"
"2022-01-25","IT","Training","West","105062","156011","Bank Transfer","TXN103142"
"2023-09-27","Finance","Salaries","North","41521","83682","Card","TXN103143"
"2022-06-09","Finance","Infrastructure","East","38807","110037","Cash","TXN103144"
"2022-10-21","Finance","Utilities","North","28013","70743","UPI","TXN103145"
"2022-12-17","Marketing","Salaries","Central","21311","154150","Bank Transfer","TXN103146"
"2023-06-10","Marketing","Training","West","90483","113777","Bank Transfer","TXN103147"
"2022-03-28","HR","Training","East","19041","123684","Card","TXN103148"
"2022-03-04","Marketing","Travel","East","81796","8845","Card","TXN103149"
"2023-11-12","Marketing","Utilities","Central","33306","38678","Card","TXN103150"
"2023-06-02","Sales","Training","Central","99086","145725","Card","TXN103151"
"2021-11-09","HR","Infrastructure","East","102151","74855","Cash","TXN103152"
"2023-04-20","Sales","Salaries","Central","88359","94037","Card","TXN103153"
"2022-06-03","IT","Infrastructure","Central","139428","50670","Cash","TXN103154"
"2022-01-10","IT","Travel","West","72960","29487","UPI","TXN103155"
"2022-03-27","HR","Salaries","North","73741","87868","UPI","TXN103156"
"2023-10-12","HR","Travel","South","69000","163889","Bank Transfer","TXN103157"
"2022-08-18","Marketing","Utilities","East","37207","76426","UPI","TXN103158"
"2022-05-15","IT","Utilities","South","13936","13513","UPI","TXN103159"
"2022-04-09","Operations","Infrastructure","East","61775","68842","Card","TXN103160"
"2021-04-23","Finance","Infrastructure","East","28674","147716","Card","TXN103161"
"2023-11-02","Marketing","Utilities","North","24374","116756","Card","TXN103162"
"2021-11-27","Finance","Marketing","East","106128","126000","UPI","TXN103163"
"2021-05-20","IT","Utilities","East","125040","162592","Card","TXN103164"
"2023-06-21","Finance","Salaries","North","137401","51675","Card","TXN103165"
"2022-06-01","Operations","Travel","Central","119644","74604","Card","TXN103166"
"2022-07-23","Operations","Utilities","South","39181","18962","Card","TXN103167"
"2023-04-26","Sales","Utilities","East","62994","81532","Cash","TXN103168"
"2023-12-29","HR","Training","North","30402","24833","Card","TXN103169"
"2021-04-28","Finance","Travel","East","82778","9913","UPI","TXN103170"
"2023-06-07","Operations","Training","North","134889","128661","Card","TXN103171"
"2023-12-19","HR","Travel","South","103057","65076","Card","TXN103172"
"2023-11-23","HR","Salaries","West","11052","59697","Cash","TXN103173"
"2021-02-19","Sales","Travel","Central","25400","111115","Card","TXN103174"
"2021-01-19","HR","Infrastructure","West","71980","78863","Card","TXN103175"
"2022-12-27","HR","Utilities","North","95483","38118","Bank Transfer","TXN103176"
"2021-07-16","Marketing","Travel","East","35699","44229","Card","TXN103177"
"2022-07-13","IT","Salaries","Central","44111","146605","UPI","TXN103178"
"2022-03-28","Sales","Travel","South","71065","131800","Bank Transfer","TXN103179"
"2021-10-16","Sales","Utilities","Central","132378","52178","Bank Transfer","TXN103180"
"2022-01-26","Finance","Marketing","East","91798","38411","UPI","TXN103181"
"2021-08-03","HR","Travel","West","118732","155912","UPI","TXN103182"
"2021-08-03","Finance","Infrastructure","North","62404","147240","Card","TXN103183"
"2021-05-08","Marketing","Utilities","West","70736","67228","Card","TXN103184"
"2023-01-30","Operations","Salaries","Central","135210","74180","Card","TXN103185"
"2022-02-08","HR","Utilities","East","33942","84057","Bank Transfer","TXN103186"
"2023-11-19","Operations","Training","North","38696","151773","UPI","TXN103187"
"2021-12-04","IT","Marketing","East","32319","80800","Cash","TXN103188"
"2023-04-11","Marketing","Salaries","East","47123","165858","Cash","TXN103189"
"2022-12-15","HR","Marketing","Central","32642","160394","Card","TXN103190"
"2021-12-27","Finance","Marketing","West","80083","64515","UPI","TXN103191"
"2022-07-23","Finance","Infrastructure","East","115219","94176","Card","TXN103192"
"2021-08-06","HR","Travel","East","95639","99205","Bank Transfer","TXN103193"
"2021-07-21","Finance","Infrastructure","East","85279","76297","Bank Transfer","TXN103194"
"2021-01-17","HR","Infrastructure","North","122033","65379","Cash","TXN103195"
"2021-11-18","Sales","Training","East","33407","72816","UPI","TXN103196"
"2022-06-02","Finance","Infrastructure","East","14445","153373","UPI","TXN103197"
"2022-11-12","HR","Salaries","Central","123443","123157","Bank Transfer","TXN103198"
"2022-03-01","HR","Travel","East","127606","138383","UPI","TXN103199"
"2023-10-16","Finance","Travel","East","126801","95878","Cash","TXN103200"
"2022-01-22","Sales","Salaries","Central","142214","80383","Card","TXN103201"
"2023-02-17","Finance","Infrastructure","North","59897","82516","UPI","TXN103202"
"2021-04-08","HR","Infrastructure","West","98071","24674","UPI","TXN103203"
"2021-07-27","Sales","Marketing","Central","77266","106733","Cash","TXN103204"
"2022-08-09","Operations","Marketing","North","71466","139669","Cash","TXN103205"
"2021-06-15","IT","Training","West","145195","96709","Card","TXN103206"
"2021-01-22","Finance","Utilities","East","28898","97975","Cash","TXN103207"
"2021-06-03","Marketing","Marketing","Central","126457","157034","Bank Transfer","TXN103208"
"2021-08-07","HR","Travel","East","55946","111825","Bank Transfer","TXN103209"
"2022-10-31","Sales","Salaries","Central","127174","16232","Card","TXN103210"
"2021-08-18","Sales","Infrastructure","West","84504","12479","Card","TXN103211"
"2021-01-20","Operations","Utilities","North","149064","92853","UPI","TXN103212"
"2022-07-07","Finance","Marketing","Central","131132","96827","Bank Transfer","TXN103213"
"2023-08-08","Marketing","Utilities","North","65173","54678","Bank Transfer","TXN103214"
"2021-05-28","Sales","Salaries","East","20125","150560","Bank Transfer","TXN103215"
"2022-02-07","Operations","Salaries","East","84165","144476","Bank Transfer","TXN103216"
"2022-08-19","HR","Utilities","West","19226","151497","Cash","TXN103217"
"2022-01-02","Operations","Utilities","West","14702","98012","Bank Transfer","TXN103218"
"2023-03-13","Finance","Training","South","141713","144337","Card","TXN103219"
"2023-07-07","Operations","Utilities","South","45942","103105","UPI","TXN103220"
"2021-03-14","Sales","Infrastructure","West","132341","116029","UPI","TXN103221"
"2022-04-26","Sales","Travel","East","13875","91028","Card","TXN103222"
"2022-07-14","IT","Marketing","North","140140","124274","Bank Transfer","TXN103223"
"2023-01-15","Operations","Marketing","West","135797","74648","Cash","TXN103224"
"2021-04-10","HR","Marketing","North","144684","74648","Bank Transfer","TXN103225"
"2023-12-19","Marketing","Utilities","South","82598","116762","Bank Transfer","TXN103226"
"2022-05-23","Marketing","Utilities","North","98240","155805","Card","TXN103227"
"2021-09-15","Finance","Training","West","76998","97979","UPI","TXN103228"
"2022-02-17","IT","Utilities","East","87510","162784","UPI","TXN103229"
"2023-12-25","Operations","Training","West","108814","165953","UPI","TXN103230"
"2022-08-18","HR","Training","Central","44924","79510","Card","TXN103231"
"2021-09-23","IT","Infrastructure","Central","143991","23518","Cash","TXN103232"
"2023-04-01","Sales","Infrastructure","Central","82168","154563","Cash","TXN103233"
"2022-10-24","Finance","Infrastructure","East","84460","40344","UPI","TXN103234"
"2023-08-05","Operations","Infrastructure","West","53910","86892","UPI","TXN103235"
"2022-07-14","Marketing","Salaries","Central","44005","54069","Cash","TXN103236"
"2023-07-06","HR","Infrastructure","West","93400","54273","Card","TXN103237"
"2023-06-10","Sales","Infrastructure","South","140634","67826","Cash","TXN103238"
"2023-05-18","IT","Infrastructure","Central","20657","86353","Bank Transfer","TXN103239"
"2022-09-02","Finance","Training","Central","28394","63158","Bank Transfer","TXN103240"
"2022-02-18","IT","Marketing","East","82433","150632","Card","TXN103241"
"2021-01-25","Marketing","Marketing","West","48397","89396","UPI","TXN103242"
"2021-10-11","IT","Marketing","East","129445","58200","Bank Transfer","TXN103243"
"2023-05-31","HR","Travel","East","33874","155968","Cash","TXN103244"
"2021-10-28","Sales","Salaries","West","33670","30497","Bank Transfer","TXN103245"
"2023-12-28","Operations","Training","South","88905","89794","Cash","TXN103246"
"2023-10-28","HR","Utilities","West","40836","42869","Cash","TXN103247"
"2023-03-28","Marketing","Training","South","27202","52417","Cash","TXN103248"
"2021-03-24","Finance","Infrastructure","East","17188","13568","Bank Transfer","TXN103249"
"2021-02-15","Marketing","Marketing","South","63326","115233","Card","TXN103250"
"2022-09-10","Marketing","Training","South","44657","51271","Cash","TXN103251"
"2023-07-17","IT","Salaries","South","141630","27052","Bank Transfer","TXN103252"
"2021-09-19","Finance","Infrastructure","Central","36195","136953","UPI","TXN103253"
"2021-06-25","HR","Travel","Central","24443","52013","Card","TXN103254"
"2022-10-19","Marketing","Utilities","East","33215","27499","Bank Transfer","TXN103255"
"2023-04-22","HR","Infrastructure","West","15949","9307","Card","TXN103256"
"2022-01-05","Operations","Utilities","South","50411","83922","Bank Transfer","TXN103257"
"2021-02-23","IT","Training","Central","125877","29943","Cash","TXN103258"
"2022-11-21","HR","Infrastructure","West","78438","85203","UPI","TXN103259"
"2022-01-02","Finance","Travel","South","72521","94726","Bank Transfer","TXN103260"
"2022-10-06","Marketing","Training","West","81431","83497","Card","TXN103261"
"2022-01-14","Operations","Salaries","North","115854","43362","UPI","TXN103262"
"2021-03-14","Finance","Utilities","South","32081","156688","UPI","TXN103263"
"2023-07-04","IT","Utilities","West","54732","12967","UPI","TXN103264"
"2023-05-10","Operations","Salaries","South","139808","49534","Cash","TXN103265"
"2021-02-12","Operations","Utilities","South","100182","24465","Cash","TXN103266"
"2022-01-12","Operations","Training","North","97904","134718","Bank Transfer","TXN103267"
"2023-12-01","Marketing","Marketing","West","101374","133850","Cash","TXN103268"
"2021-06-19","Sales","Salaries","East","143227","121702","UPI","TXN103269"
"2021-07-31","Operations","Travel","Central","137277","114781","Card","TXN103270"
"2021-02-08","Finance","Infrastructure","South","132606","130902","UPI","TXN103271"
"2022-01-04","Finance","Infrastructure","South","137927","134547","UPI","TXN103272"
"2023-01-27","IT","Salaries","South","145423","85718","Cash","TXN103273"
"2021-05-31","HR","Marketing","South","50236","27929","Card","TXN103274"
"2023-12-07","HR","Training","Central","23241","120623","UPI","TXN103275"
"2023-10-21","Sales","Travel","East","98987","30830","Card","TXN103276"
"2023-01-07","Marketing","Infrastructure","North","101659","24478","Card","TXN103277"
"2021-03-10","Marketing","Infrastructure","East","57665","125210","UPI","TXN103278"
"2021-10-26","Operations","Training","Central","71242","73086","Cash","TXN103279"
"2023-08-02","Sales","Marketing","West","14455","103607","Cash","TXN103280"
"2023-03-13","IT","Utilities","North","50459","137174","Bank Transfer","TXN103281"
"2021-10-23","IT","Salaries","North","70899","23988","UPI","TXN103282"
"2021-07-22","HR","Marketing","West","27597","104958","UPI","TXN103283"
"2021-03-02","IT","Marketing","South","65591","18441","Card","TXN103284"
"2023-08-04","Operations","Marketing","Central","56209","23609","Card","TXN103285"
"2023-08-21","Finance","Marketing","West","19052","142742","Bank Transfer","TXN103286"
"2021-11-27","IT","Utilities","East","45691","83073","Bank Transfer","TXN103287"
"2021-12-04","Sales","Training","East","27816","29028","Card","TXN103288"
"2022-10-01","Operations","Travel","West","75876","82727","Card","TXN103289"
"2021-10-02","IT","Marketing","Central","66533","148288","Bank Transfer","TXN103290"
"2021-11-15","Marketing","Marketing","North","118873","153327","Cash","TXN103291"
"2022-08-12","IT","Salaries","North","24206","160913","Bank Transfer","TXN103292"
"2022-05-19","Marketing","Infrastructure","South","142270","151650","Card","TXN103293"
"2022-01-22","Operations","Utilities","Central","88566","159622","UPI","TXN103294"
"2023-05-20","IT","Marketing","East","132874","77739","Card","TXN103295"
"2023-04-13","Marketing","Travel","East","117787","56617","Cash","TXN103296"
"2023-10-12","Finance","Travel","South","14934","125333","Card","TXN103297"
"2022-08-26","HR","Travel","East","131298","13384","Card","TXN103298"
"2022-11-22","Operations","Salaries","South","35877","93554","Bank Transfer","TXN103299"
"2022-05-09","Marketing","Travel","South","29471","79655","Cash","TXN103300"
"2022-05-05","Sales","Training","West","15853","111505","Bank Transfer","TXN103301"
"2022-12-22","IT","Salaries","North","46018","167907","UPI","TXN103302"
"2022-05-24","Marketing","Utilities","Central","68501","29409","UPI","TXN103303"
"2022-01-25","Marketing","Travel","Central","10257","25676","Cash","TXN103304"
"2021-10-22","Marketing","Infrastructure","North","125169","168950","UPI","TXN103305"
"2023-03-07","HR","Marketing","Central","145802","143347","UPI","TXN103306"
"2023-05-15","Sales","Utilities","East","21305","147035","Card","TXN103307"
"2022-07-03","Sales","Training","East","130761","114967","Bank Transfer","TXN103308"
"2022-10-11","Finance","Infrastructure","Central","98979","88940","Bank Transfer","TXN103309"
"2022-07-22","HR","Utilities","West","20818","68965","Bank Transfer","TXN103310"
"2023-05-03","Marketing","Training","Central","16202","116485","Cash","TXN103311"
"2023-02-09","Operations","Travel","South","48946","81061","Card","TXN103312"
"2022-03-21","HR","Utilities","South","27031","66318","Card","TXN103313"
"2021-12-29","HR","Utilities","North","136705","164622","Cash","TXN103314"
"2021-05-03","Sales","Utilities","East","122212","45087","Bank Transfer","TXN103315"
"2023-01-12","Finance","Salaries","West","111890","134861","Card","TXN103316"
"2022-11-11","Finance","Infrastructure","Central","103496","14953","Card","TXN103317"
"2022-02-24","HR","Training","South","147152","102266","Bank Transfer","TXN103318"
"2021-04-02","HR","Travel","East","125446","111431","UPI","TXN103319"
"2021-03-04","IT","Marketing","East","41942","160376","Cash","TXN103320"
"2022-05-27","Marketing","Travel","West","27016","102613","Card","TXN103321"
"2023-02-11","Sales","Travel","West","34232","46739","Bank Transfer","TXN103322"
"2021-09-13","Marketing","Salaries","West","70928","136020","UPI","TXN103323"
"2021-05-15","Operations","Salaries","West","141401","114879","Bank Transfer","TXN103324"
"2023-05-25","Operations","Utilities","South","70363","32987","Bank Transfer","TXN103325"
"2023-04-02","Finance","Travel","West","146518","126064","UPI","TXN103326"
"2021-03-29","Sales","Infrastructure","East","87781","14038","Cash","TXN103327"
"2023-09-15","Marketing","Salaries","East","118670","10775","Card","TXN103328"
"2023-04-03","Finance","Training","Central","125672","146549","Cash","TXN103329"
"2023-10-24","Operations","Salaries","East","135158","79910","Cash","TXN103330"
"2023-09-01","HR","Infrastructure","East","56094","75819","Bank Transfer","TXN103331"
"2023-07-23","Sales","Salaries","South","24822","25046","Bank Transfer","TXN103332"
"2021-05-01","Sales","Infrastructure","East","26825","159597","Bank Transfer","TXN103333"
"2023-11-28","Marketing","Marketing","North","145092","126723","Cash","TXN103334"
"2023-10-05","IT","Infrastructure","East","34849","49181","Card","TXN103335"
"2023-07-14","Marketing","Marketing","Central","35602","139823","Bank Transfer","TXN103336"
"2022-10-07","HR","Training","Central","104460","153563","UPI","TXN103337"
